Location Name,Full Address,City,Lat,Lon
מקלט 63 אופקים,"יגאל אלון 13, אופקים",אופקים,31.31268160300709,34.622977044110186
מקלט 7 אופקים,"התאנה 3, אופקים",אופקים,31.310607145901777,34.6111196377594
מקלט מס' 13 אופקים,"הזמורה 9, אופקים",אופקים,31.315185143048346,34.612299023606234
מקלט מס' 15 אופקים,"קיבוץ גלויות 164, אופקים",אופקים,31.31042966785745,34.61370486509894
מקלט מס' 20 אופקים,"משה שרת ליד צומת משה שרת והחרוב, אופקים",אופקים,31.30892529759037,34.616056726276135
מקלט מס' 3 אופקים,"הגורן 15, אופקים",אופקים,31.307870143396794,34.610191408611435
מקלט מס' 31 אופקים,"קיבוץ גלויות צפונית לגן ילדים, אופקים",אופקים,31.31958136587682,34.61513953197589
מקלט מס' 35 אופקים,"בית ספר אשלים הנשיא, אופקים",אופקים,31.31905423101221,34.616224880299484
מקלט מס' 42 אופקים,"הרב קוק 13-15, אופקים",אופקים,31.31674783535206,34.61872895672793
מקלט ציבורי אופקים,"הרב הרצוג גן ציגל, אופקים",אופקים,31.309981146829646,34.616197226849785
מקלט ציבורי אופקים,"שמואל הרואה 28, אופקים",אופקים,31.301954920257902,34.624250832046734
מקלט ציבורי 11 אופקים,"ארבעת המינים 26, אופקים",אופקים,31.30766804570865,34.613301927829895
מקלט ציבורי 12 אופקים,"הערבה 2, אופקים",אופקים,31.310128863574427,34.613013445158984
מקלט ציבורי 17 אופקים,"קיבוץ גלויות ליד גולומב, אופקים",אופקים,31.31215521246641,34.614345389914305
מקלט 1 אור הגנוז,"אור גנוז במרכז הישוב, אור הגנוז",אור הגנוז,33.004945907132786,35.44682605812677
"מקלט אור הנר דרום, אור הנר","אור הנר דרום, אור הנר",אור הנר,31.555906961851562,34.597850700682976
"מקלט אור הנר דרום, אור הנר","אור הנר דרום, אור הנר",אור הנר,31.555630093790384,34.59842121467925
"מקלט אור הנר דרום, אור הנר","אור הנר דרום, אור הנר",אור הנר,31.555723119738424,34.599020932413225
"מקלט אור הנר דרום, אור הנר","אור הנר דרום, אור הנר",אור הנר,31.555548409698655,34.60212896955341
"מקלט אור הנר מערב, אור הנר","אור הנר מערב, אור הנר",אור הנר,31.55702114473079,34.5988861656092
"מקלט אור הנר מרכז, אור הנר","אור הנר מרכז, אור הנר",אור הנר,31.55741615148196,34.60041076924478
"מקלט אור הנר צפון, אור הנר","אור הנר צפון, אור הנר",אור הנר,31.558250103367918,34.601311165090586
"מקלט אור הנר צפון, אור הנר","אור הנר צפון, אור הנר",אור הנר,31.558811616696534,34.60181310109599
"מקלט ירושלים 9, אור יהודה","ירושלים 9, אור יהודה",אור יהודה,32.02745574581253,34.862633261650636
"מקלט עין גדי 6, אור יהודה","עין גדי 6, אור יהודה",אור יהודה,32.02683103074145,34.865070281072406
מקלט 45 אור יהודה,"ז'בוטינסקי 18, אור יהודה",אור יהודה,32.02738784331588,34.864210785291604
מקלט 46 אור יהודה,"ז'בוטינסקי 16, אור יהודה",אור יהודה,32.02720691730549,34.86399974012922
מקלט 49 אור יהודה,"דוד אלעזר 18, אור יהודה",אור יהודה,32.027446906304725,34.86606306840544
מקלט 50 אור יהודה,"ד""ר אטרקצי 72, אור יהודה",אור יהודה,32.027188178692825,34.867112003126046
מקלט מס 48 אור יהודה,"דוד אלעזר 30, אור יהודה",אור יהודה,32.02848161743921,34.86518063983769
מקלט ציבורי אור יהודה,"דב הוז 18, אור יהודה",אור יהודה,32.03319123488929,34.84313302719077
מקלט ציבורי אור יהודה,"ההסתדרות 12, אור יהודה",אור יהודה,32.0257130355898,34.86180347634168
מקלט ציבורי אור יהודה,"ההסתדרות 12, אור יהודה",אור יהודה,32.02580095281804,34.860966892139835
מקלט ציבורי אור יהודה,"העצמאות 15, אור יהודה",אור יהודה,32.02678358802347,34.860846783608935
מקלט ציבורי אור יהודה,"העצמאות 3, אור יהודה",אור יהודה,32.026097080320895,34.86042592342257
מקלט ציבורי אור יהודה,"העצמאות 30, אור יהודה",אור יהודה,32.02801730537295,34.86354155407475
מקלט ציבורי אור יהודה,"חייק 34, אור יהודה",אור יהודה,32.03240025279494,34.84404655275931
מקלט ציבורי אור יהודה,"יחזקאל קזז 8, אור יהודה",אור יהודה,32.03050604868029,34.847081584549834
מקלט ציבורי אור יהודה,"יקותיאל אדם 11, אור יהודה",אור יהודה,32.03169957102838,34.86128363899805
מקלט ציבורי אור יהודה,"כצנלסון 17, אור יהודה",אור יהודה,32.025259362945164,34.86077837442723
מקלט ציבורי - 1 אור יהודה,"יחזקאל קזז 45, אור יהודה",אור יהודה,32.0350597759487,34.84695803580409
